"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","interocular_distance_mm","location_string","latitude","longitude"
"IGproject0349","Andrena","wilkella","female",1910,6,14,"England","Devon","Budleigh Salterton","",3.302,2.161,7.79,2.48,"Andrenidae","excavator",NA,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844
"IGproject0350","Andrena","wilkella","female",1908,6,14,"England","Greater Manchester","Sale","",3.348,2.151,7.925,2.698,"Andrenidae","excavator",NA,"Sale, Greater Manchester, England",53.4244939,-2.318415
"IGproject0351","Andrena","wilkella","male",1904,5,15,"England","Greater London","Northwood","",2.982,1.925,7.512,2.081,"Andrenidae","excavator",NA,"Northwood, Greater London, England",51.6051713,-0.4205812
"IGproject0352","Andrena","wilkella","male",1900,5,29,"England","Hampshire","","New Forest",3.025,1.92,7.764,2.167,"Andrenidae","excavator",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0353","Andrena","wilkella","female",1900,5,29,"England","Berkshire","Newbury","",3.438,2.254,8.13,2.697,"Andrenidae","excavator",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0354","Andrena","wilkella","male",1904,5,22,"England","Hampshire","","New Forest",2.907,1.632,7.256,2.072,"Andrenidae","excavator",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0355","Andrena","wilkella","female",1953,6,1,"England","Oxfordshire","Abingdon","Cothill",3.335,2.1,8.033,2.612,"Andrenidae","excavator",NA,"Cothill, Abingdon, Oxfordshire, England",51.69591033,-1.3292552
"IGproject0356","Andrena","wilkella","male",1900,5,15,"England","Essex","Theydon Bois","",2.876,1.712,7.125,2.049,"Andrenidae","excavator",NA,"Theydon Bois, Essex, England",51.6717759,0.1033213
"IGproject0357","Andrena","wilkella","male",1899,6,NA,"England","Cambridgeshire","Wicken","",2.994,1.879,7.477,2.124,"Andrenidae","excavator",NA,"Wicken, Cambridgeshire, England",52.3126328,0.2994755
"IGproject0358","Andrena","wilkella","male",1900,5,18,"England","Berkshire","Newbury","",2.942,1.787,7.384,2.046,"Andrenidae","excavator",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0359","Andrena","wilkella","female",1905,5,24,"Wales","Gwynedd","Criccieth","",3.538,2.451,8.438,2.8,"Andrenidae","excavator",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0360","Andrena","wilkella","male",1949,6,7,"England","Devon","Exminster","",2.996,1.898,7.395,2.088,"Andrenidae","excavator",NA,"Exminster, Devon, England",50.6785394,-3.4955657
"IGproject0361","Andrena","wilkella","female",1915,6,2,"England","Devon","Paignton","",3.411,2.174,8.255,2.524,"Andrenidae","excavator",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0362","Andrena","wilkella","female",1923,6,5,"England","Devon","Newton Abbot","",3.416,2.257,8.073,2.517,"Andrenidae","excavator",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0363","Andrena","wilkella","female",1923,6,15,"England","Devon","Newton Abbot","",3.44,2.202,8.124,2.584,"Andrenidae","excavator",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0364","Andrena","wilkella","female",1896,5,5,"England","Wiltshire","Sopworth","",3.21,2.048,7.793,2.475,"Andrenidae","excavator",NA,"Sopworth, Wiltshire, England",51.5806236,-2.2507317
"IGproject0365","Andrena","wilkella","male",1900,5,28,"England","Berkshire","Newbury","",2.991,1.896,7.565,2.091,"Andrenidae","excavator",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0366","Andrena","wilkella","male",1900,5,25,"England","Berkshire","Newbury","",2.834,1.841,7.293,2.015,"Andrenidae","excavator",NA,"Newbury, Berkshire, England",51.4020243,-1.3242212
"IGproject0367","Andrena","wilkella","female",1918,5,NA,"England","Devon","Paignton","",3.32,2.21,8.361,2.477,"Andrenidae","excavator",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0368","Andrena","wilkella","female",1905,6,22,"England","Surrey","Oxshott","",3.396,2.176,7.967,2.486,"Andrenidae","excavator",NA,"Oxshott, Surrey, England",51.3361004,-0.3625418
"IGproject0369","Andrena","wilkella","female",1899,6,NA,"England","Cambridgeshire","Wicken","",3.51,2.322,8.217,2.667,"Andrenidae","excavator",NA,"Wicken, Cambridgeshire, England",52.3126328,0.2994755
"IGproject0370","Andrena","wilkella","female",1905,6,4,"England","Surrey","Chobham","",3.448,2.146,8.211,2.618,"Andrenidae","excavator",NA,"Chobham, Surrey, England",51.3477705,-0.6010128
"IGproject0371","Andrena","wilkella","female",1904,6,17,"England","Surrey","Chobham","",3.353,2.241,8.014,2.624,"Andrenidae","excavator",NA,"Chobham, Surrey, England",51.3477705,-0.6010128
"IGproject0372","Anthidium","manicatum","female",1946,7,29,"England","Greater London","Osterley","",4.309,3.729,10.167,3.087,"Megachilidae","cavity nester",NA,"Osterley, Greater London, England",51.4815507,-0.3518348
"IGproject0373","Anthidium","manicatum","female",1905,7,15,"England","Oxfordshire","Oxford","Lye Valley",3.927,3.302,9.067,2.782,"Megachilidae","cavity nester",NA,"Lye Valley, Oxford, Oxfordshire, England",51.7455776,-1.2056501
"IGproject0374","Anthidium","manicatum","male",1900,7,20,"Wales","Gwynedd","Criccieth","",4.407,3.705,11.012,3.491,"Megachilidae","cavity nester",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0375","Anthidium","manicatum","male",1938,7,29,"England","Oxfordshire","Oxford","Sunnymead",4.392,3.506,10.723,3.361,"Megachilidae","cavity nester",NA,"Sunnymead, Oxford, Oxfordshire, England",51.7838335,-1.2642666
"IGproject0376","Anthidium","manicatum","female",1966,6,16,"England","Devon","Paignton","",4.242,3.537,9.42,2.942,"Megachilidae","cavity nester",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0377","Anthidium","manicatum","female",1909,6,NA,"England","Gloucestershire","Wotton-under-Edge","Alderley",4.128,3.397,9.155,2.774,"Megachilidae","cavity nester",NA,"Alderley, Wotton-under-Edge, Gloucestershire, England",51.615194,-2.332701286
"IGproject0378","Anthidium","manicatum","female",1905,7,22,"England","Dorset","Lyme Regis","",4.047,3.509,9.149,2.889,"Megachilidae","cavity nester",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0379","Anthidium","manicatum","male",1952,7,30,"England","Northamptonshire","Aynho","",4.712,4.154,11.624,3.776,"Megachilidae","cavity nester",NA,"Aynho, Northamptonshire, England",51.9948605,-1.2520728
"IGproject0380","Anthidium","manicatum","male",1915,7,25,"England","Devon","Dartmoor","East Dartmoor",4.67,4.288,12.267,3.802,"Megachilidae","cavity nester",NA,"East Dartmoor, Dartmoor, Devon, England",50.486085,-3.9856305
"IGproject0381","Anthidium","manicatum","male",1904,7,9,"England","Hampshire","","New Forest",4.321,3.721,10.444,3.306,"Megachilidae","cavity nester",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0382","Anthidium","manicatum","female",1898,7,NA,"Wales","Gwynedd","Criccieth","",4.074,3.449,9.005,2.745,"Megachilidae","cavity nester",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0383","Anthidium","manicatum","male",1897,7,18,"England","Oxfordshire","Oxford","Shotover",4.442,3.8,11.711,3.86,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0384","Anthidium","manicatum","female",1907,7,21,"England","Hampshire","","New Forest",3.77,3.115,8.28,2.429,"Megachilidae","cavity nester",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0385","Anthidium","manicatum","male",1897,7,18,"England","Oxfordshire","Oxford","Shotover",4.36,3.866,10.791,3.459,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0386","Anthidium","manicatum","male",1897,7,18,"England","Oxfordshire","Oxford","Shotover",4.549,3.899,11.597,3.865,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0387","Anthidium","manicatum","male",1950,7,27,"England","Northamptonshire","Aynho","",4.246,3.463,9.911,3.022,"Megachilidae","cavity nester",NA,"Aynho, Northamptonshire, England",51.9948605,-1.2520728
"IGproject0388","Anthidium","manicatum","male",1898,7,NA,"Wales","Gwynedd","Criccieth","",4.543,3.916,11.497,3.54,"Megachilidae","cavity nester",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0389","Anthidium","manicatum","female",1906,7,20,"England","Hampshire","","New Forest",4.178,3.54,9.448,2.802,"Megachilidae","cavity nester",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0390","Anthidium","manicatum","female",1930,9,10,"England","Devon","Newton Abbot","",3.813,3.189,8.536,2.554,"Megachilidae","cavity nester",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0391","Anthidium","manicatum","female",1977,9,5,"England","Oxfordshire","Abingdon","Dry Sandford Pit",4.086,3.384,9.102,2.751,"Megachilidae","cavity nester",NA,"Dry Sandford Pit, Abingdon, Oxfordshire, England",51.69478825,-1.32635399
"IGproject0392","Anthidium","manicatum","female",1897,7,NA,"Wales","Gwynedd","Criccieth","",4.103,3.463,9.061,2.867,"Megachilidae","cavity nester",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0393","Anthidium","manicatum","female",1904,7,NA,"England","Dorset","Lyme Regis","",4.251,3.596,9.597,3.077,"Megachilidae","cavity nester",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0394","Anthidium","manicatum","female",1905,7,20,"England","Dorset","Lyme Regis","",4.123,3.495,8.984,2.866,"Megachilidae","cavity nester",NA,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0395","Anthidium","manicatum","female",1900,7,7,"Wales","Gwynedd","Criccieth","",4.136,3.532,9.245,2.781,"Megachilidae","cavity nester",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0396","Anthidium","manicatum","female",1914,6,24,"England","Devon","Paignton","",4.116,3.434,9.068,2.72,"Megachilidae","cavity nester",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0397","Anthidium","manicatum","male",1919,8,NA,"England","Surrey","Guildford","",4.651,4.018,11.979,3.863,"Megachilidae","cavity nester",NA,"Guildford, Surrey, England",51.2356068,-0.5732063
"IGproject0398","Anthidium","manicatum","male",1926,7,NA,"England","Devon","Newton Abbot","",3.825,3.24,8.764,2.892,"Megachilidae","cavity nester",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0399","Anthidium","manicatum","male",1898,7,NA,"Wales","Gwynedd","Criccieth","",4.537,3.9,11.407,3.609,"Megachilidae","cavity nester",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0400","Anthidium","manicatum","male",1948,8,1,"England","Oxfordshire","Oxford","Hinksey",4.228,3.554,10.311,3.302,"Megachilidae","cavity nester",NA,"Hinksey, Oxford, Oxfordshire, England",51.7363525,-1.2575581
"IGproject0401","Anthidium","manicatum","male",1900,7,NA,"England","Worcestershire","Kidderminster","Wyre Forest",4.247,3.659,10.322,3.106,"Megachilidae","cavity nester",NA,"Wyre Forest, Kidderminster, Worcestershire, England",52.396247,-2.2469773
"IGproject0402","Anthidium","manicatum","male",1916,6,16,"England","Devon","Paignton","",4.599,3.844,11.377,3.679,"Megachilidae","cavity nester",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0403","Anthidium","manicatum","male",1914,7,10,"England","Devon","Bovey Tracey","",4.607,3.842,11.268,3.508,"Megachilidae","cavity nester",NA,"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"IGproject0404","Anthidium","manicatum","male",1902,NA,NA,"England","Hertfordshire","Berkhamsted","",4.396,3.995,11.201,3.593,"Megachilidae","cavity nester",NA,"Berkhamsted, Hertfordshire, England",51.7607271,-0.5652554
"IGproject0405","Anthidium","manicatum","male",1926,7,NA,"England","Devon","Newton Abbot","",4.185,3.691,10.746,3.451,"Megachilidae","cavity nester",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0406","Anthidium","manicatum","male",1910,7,11,"England","Oxfordshire","Oxford","Wykeham House (garden)",4.381,3.921,10.896,3.365,"Megachilidae","cavity nester",NA,"Wykeham House (garden), Oxford, Oxfordshire, England",51.76345691,-1.260193951
"IGproject0407","Anthidium","manicatum","male",1897,7,NA,"England","Oxfordshire","Oxford","Shotover",4.431,3.732,11.177,3.342,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0408","Anthidium","manicatum","male",1897,7,NA,"England","Oxfordshire","Oxford","Shotover",4.513,3.982,11.366,3.582,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0409","Anthidium","manicatum","male",1897,7,NA,"England","Oxfordshire","Oxford","Shotover",4.218,3.736,10.535,3.326,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0410","Anthidium","manicatum","male",1905,7,15,"England","Oxfordshire","Oxford","Lye Valley",4.245,3.824,10.413,3.333,"Megachilidae","cavity nester",NA,"Lye Valley, Oxford, Oxfordshire, England",51.7455776,-1.2056501
"IGproject0411","Anthidium","manicatum","male",1905,7,15,"England","Oxfordshire","Oxford","Lye Valley",3.885,3.257,9.226,2.798,"Megachilidae","cavity nester",NA,"Lye Valley, Oxford, Oxfordshire, England",51.7455776,-1.2056501
"IGproject0412","Anthidium","manicatum","male",1897,7,NA,"England","Oxfordshire","Oxford","Shotover",4.566,3.949,11.608,3.947,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0413","Anthidium","manicatum","female",1948,8,1,"England","Oxfordshire","Oxford","Hinksey",4.01,3.382,9.262,2.833,"Megachilidae","cavity nester",NA,"Hinksey, Oxford, Oxfordshire, England",51.7363525,-1.2575581
"IGproject0414","Anthidium","manicatum","female",1929,5,22,"England","Devon","Bovey Tracey","",3.982,3.295,9.058,2.792,"Megachilidae","cavity nester",NA,"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"IGproject0415","Anthidium","manicatum","female",1914,6,20,"England","Surrey","Woking","",4.194,3.461,9.354,2.929,"Megachilidae","cavity nester",NA,"Woking, Surrey, England",51.3201891,-0.5564726
"IGproject0416","Anthidium","manicatum","female",1914,6,20,"England","Surrey","Woking","",4.258,3.556,9.425,2.899,"Megachilidae","cavity nester",NA,"Woking, Surrey, England",51.3201891,-0.5564726
"IGproject0417","Anthidium","manicatum","female",1899,6,27,"England","Oxfordshire","Oxford","OUMNH",3.983,3.345,8.858,2.846,"Megachilidae","cavity nester",NA,"OUMNH, Oxford, Oxfordshire, England",51.75883255,-1.255506952
"IGproject0418","Anthidium","manicatum","female",1897,7,18,"England","Oxfordshire","Oxford","Shotover",3.988,3.459,8.974,2.797,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0419","Anthidium","manicatum","female",1908,6,NA,"England","Kent","Chattenden","",4.092,3.385,8.712,2.71,"Megachilidae","cavity nester",NA,"Chattenden, Kent, England",51.2849241,0.5329214
"IGproject0420","Anthidium","manicatum","female",1902,7,27,"England","Oxfordshire","Tubney","Tubney Wood",4.068,3.594,9.253,2.809,"Megachilidae","cavity nester",NA,"Tubney Wood, Tubney, Oxfordshire, England",51.6982536,-1.3620453
"IGproject0421","Anthidium","manicatum","female",1984,6,30,"England","Greater London","Woolwich","Spray Street",3.507,2.868,7.295,2.22,"Megachilidae","cavity nester",NA,"Spray Street, Woolwich, Greater London, England",51.4904779,0.0697472
"IGproject0422","Anthidium","manicatum","female",1897,7,18,"England","Oxfordshire","Oxford","Shotover",3.961,3.283,8.704,2.724,"Megachilidae","cavity nester",NA,"Shotover, Oxford, Oxfordshire, England",51.7561128,-1.1551229
"IGproject0423","Anthidium","manicatum","female",1897,6,22,"England","Berkshire","Sulhamstead","",4.203,3.552,9.162,2.847,"Megachilidae","cavity nester",NA,"Sulhamstead, Berkshire, England",51.4140897,-1.0929427
"IGproject0424","Anthidium","manicatum","male",1897,6,22,"England","Berkshire","Sulhamstead","",4.196,3.499,10.116,3.172,"Apidae","kleptoparasite",NA,"Sulhamstead, Berkshire, England",51.4140897,-1.0929427
"IGproject0425","Nomada","ruficornis","female",1918,4,NA,"England","Cumbria","Carlisle","",2.42,1.543,7.501,2.026,"Apidae","kleptoparasite",NA,"Carlisle, Cumbria, England",54.89388457,-2.93695408
"IGproject0426","Nomada","ruficornis","female",1915,5,21,"England","Devon","Brixham","Churston Ferrers",2.772,1.823,8.434,2.369,"Apidae","kleptoparasite",NA,"Churston Ferrers, Brixham, Devon, England",50.3945707,-3.565572
"IGproject0427","Nomada","ruficornis","female",1920,5,25,"England","West Yorkshire","Leeds","Meanwood",2.651,1.743,7.959,2.24,"Apidae","kleptoparasite",NA,"Meanwood, Leeds, West Yorkshire, England",53.8281685,-1.5682466
"IGproject0428","Nomada","ruficornis","female",1915,5,7,"England","Devon","Bovey Tracey","",2.812,1.929,8.587,2.415,"Apidae","kleptoparasite",NA,"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"IGproject0429","Nomada","ruficornis","female",1915,5,7,"England","Devon","Bovey Tracey","",2.835,1.884,8.565,2.265,"Apidae","kleptoparasite",NA,"Bovey Tracey, Devon, England",50.6046632,-3.6856762
"IGproject0430","Nomada","ruficornis","female",1915,5,24,"England","South Yorkshire","Sheffield","",2.76,1.817,8.428,2.21,"Apidae","kleptoparasite",NA,"Sheffield, South Yorkshire, England",53.3806626,-1.4702278
"IGproject0431","Nomada","ruficornis","male",1975,5,3,"England","Devon","","South Devon - Buckland Down",2.344,1.54,7.277,1.959,"Apidae","kleptoparasite",NA,"South Devon - Buckland Down, Devon, England",50.54448152,-3.807963495
"IGproject0432","Nomada","ruficornis","female",1982,5,10,"England","Devon","Plymouth","Plym Bridge",2.758,1.831,8.377,2.286,"Apidae","kleptoparasite",NA,"Plym Bridge, Plymouth, Devon, England",50.40595042,-4.077171658
"IGproject0433","Nomada","ruficornis","male",1978,5,7,"England","Devon","Tavistock","Whitchurch Down",2.777,1.83,8.507,2.412,"Apidae","kleptoparasite",NA,"Whitchurch Down, Tavistock, Devon, England",50.5427342,-4.1150225
"IGproject0434","Nomada","ruficornis","male",1982,5,10,"England","Devon","Plymouth","Plym Bridge",2.334,1.428,7.228,1.935,"Apidae","kleptoparasite",NA,"Plym Bridge, Plymouth, Devon, England",50.40595042,-4.077171658
"IGproject0435","Nomada","ruficornis","male",1974,4,21,"England","Devon","Lifton","",2.772,1.964,8.722,2.311,"Apidae","kleptoparasite",NA,"Lifton, Devon, England",50.6429503,-4.2988119
"IGproject0436","Nomada","ruficornis","male",1982,4,20,"England","Devon","Dartmoor","Burrator Reservoir",2.304,1.548,7.555,1.915,"Apidae","kleptoparasite",NA,"Burrator Reservoir, Dartmoor, Devon, England",50.49923423,-4.040083663
"IGproject0437","Nomada","ruficornis","male",1975,5,6,"England","Devon","Tavistock","Whitchurch Down",2.291,1.47,7.229,1.933,"Apidae","kleptoparasite",NA,"Whitchurch Down, Tavistock, Devon, England",50.5427342,-4.1150225
"IGproject0438","Nomada","ruficornis","male",1918,4,NA,"England","Oxfordshire","Oxford","",2.683,1.901,8.353,2.225,"Apidae","kleptoparasite",NA,"Oxford, Oxfordshire, England",51.7520131,-1.2578499
"IGproject0439","Nomada","ruficornis","male",1901,4,25,"England","Oxfordshire","Oxford","University Parks",2.834,2.06,8.468,2.282,"Apidae","kleptoparasite",NA,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0440","Nomada","ruficornis","male",1917,5,3,"England","Devon","Brixham","",2.393,1.543,7.445,1.973,"Apidae","kleptoparasite",NA,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0441","Nomada","ruficornis","male",1918,4,NA,"England","Oxfordshire","Oxford","",2.66,1.747,8.188,2.237,"Apidae","kleptoparasite",NA,"Oxford, Oxfordshire, England",51.7520131,-1.2578499
"IGproject0442","Nomada","ruficornis","male",1914,4,14,"England","Devon","Dartmoor","East Dartmoor",2.62,1.779,8.487,2.272,"Apidae","kleptoparasite",NA,"East Dartmoor, Dartmoor, Devon, England",50.486085,-3.9856305
"IGproject0443","Nomada","ruficornis","male",1918,4,27,"England","Devon","Paignton","",2.575,1.66,7.685,2.032,"Apidae","kleptoparasite",NA,"Paignton, Devon, England",50.4377018,-3.5632704
"IGproject0444","Nomada","ruficornis","female",1920,5,15,"England","West Yorkshire","Leeds","Roundhay",2.815,1.996,8.539,2.362,"Apidae","kleptoparasite",NA,"Roundhay, Leeds, West Yorkshire, England",53.8439954,-1.507852
"IGproject0445","Nomada","ruficornis","male",1901,4,25,"England","Oxfordshire","Oxford","University Parks",2.58,1.779,8.063,2.056,"Apidae","kleptoparasite",NA,"University Parks, Oxford, Oxfordshire, England",51.7623666,-1.2544132
"IGproject0446","Nomada","ruficornis","male",1935,4,28,"England","Dorset","Swanage","South Haven Point",2.642,1.824,7.939,2.146,"Apidae","kleptoparasite",NA,"South Haven Point, Swanage, Dorset, England",50.6787269,-1.94390688
"IGproject0447","Nomada","ruficornis","female",1984,6,8,"England","Devon","Tavistock","Whitchurch Down",2.752,1.88,8.652,2.247,"Apidae","kleptoparasite",NA,"Whitchurch Down, Tavistock, Devon, England",50.5427342,-4.1150225
"IGproject0448","Nomada","ruficornis","male",1901,7,14,"Wales","Gwynedd","Criccieth","",2.652,1.778,8.218,2.13,"Apidae","kleptoparasite",NA,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0449","Nomada","ruficornis","female",1989,5,19,"England","Wiltshire","Swindon","Coate Water Country Park",2.788,1.898,8.464,2.269,"Apidae","kleptoparasite",NA,"Coate Water Country Park, Swindon, Wiltshire, England",51.53925894,-1.74822582
"IGproject0450","Nomada","ruficornis","female",1989,5,19,"England","Wiltshire","Swindon","Coate Water Country Park",2.752,1.843,8.603,2.294,"Apidae","kleptoparasite",NA,"Coate Water Country Park, Swindon, Wiltshire, England",51.53925894,-1.74822582
"IGproject0451","Nomada","ruficornis","female",1976,4,21,"England","Devon","Lifton","",2.907,1.918,8.973,2.48,"Apidae","kleptoparasite",NA,"Lifton, Devon, England",50.6429503,-4.2988119
"IGproject0452","Nomada","ruficornis","male",1983,5,4,"England","Devon","Dartmoor","Leather Tor",2.738,1.827,8.648,2.2,"Apidae","kleptoparasite",NA,"Leather Tor, Dartmoor, Devon, England",50.51314752,-4.028640519
"IGproject0453","Nomada","ruficornis","female",1976,5,7,"England","Devon","Harford","",2.761,1.808,8.46,2.287,"Apidae","kleptoparasite",NA,"Harford, Devon, England",50.4188928,-3.9179257
"IGproject0454","Nomada","ruficornis","male",1904,5,18,"England","Greater London","London","Hampstead",2.46,1.633,7.525,2.035,"Apidae","kleptoparasite",NA,"Hampstead, London, Greater London, England",51.55653,-0.1783011
"IGproject0455","Nomada","ruficornis","male",1941,5,17,"England","Hampshire","Tadley","Pamber Forest",2.631,1.729,7.858,2.039,"Apidae","kleptoparasite",NA,"Pamber Forest, Tadley, Hampshire, England",51.3445805,-1.1172286
"IGproject0456","Nomada","ruficornis","female",1953,5,24,"England","Devon","Lustleigh","",2.641,1.789,8.026,2.235,"Apidae","kleptoparasite",NA,"Lustleigh, Devon, England",50.6228301,-3.7304463
"IGproject0457","Nomada","ruficornis","male",1954,4,12,"England","Devon","Teignbridge","",2.718,1.805,8.442,2.224,"Apidae","kleptoparasite",NA,"Teignbridge, Devon, England",50.6125551,-3.6559493
"IGproject0458","Nomada","ruficornis","female",1921,5,27,"England","Hertfordshire","Tring","",2.626,1.774,8.229,2.299,"Apidae","kleptoparasite",NA,"Tring, Hertfordshire, England",51.7940357,-0.6609205
"IGproject0459","Nomada","ruficornis","female",1902,5,19,"England","Hampshire","","New Forest",2.649,1.773,8.346,2.382,"Apidae","kleptoparasite",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0460","Nomada","ruficornis","male",1917,5,3,"England","Surrey","Guildford","Merrow",2.373,1.573,7.071,1.939,"Apidae","kleptoparasite",NA,"Merrow, Guildford, Surrey, England",51.2443481,-0.5335147
"IGproject0461","Nomada","ruficornis","male",1917,5,5,"England","Surrey","Tadworth","Box Hill",2.808,1.958,8.498,2.332,"Apidae","kleptoparasite",NA,"Box Hill, Tadworth, Surrey, England",51.2543699,-0.2776725
"IGproject0462","Nomada","ruficornis","female",1931,5,25,"England","North Yorkshire","Rainton","",2.568,1.664,7.699,2.152,"Apidae","kleptoparasite",NA,"Rainton, North Yorkshire, England",54.1715744,-1.4343499
"IGproject0463","Nomada","ruficornis","female",1945,3,25,"England","Devon","Lydford","",2.529,1.573,7.65,2.073,"Apidae","kleptoparasite",NA,"Lydford, Devon, England",50.6459989,-4.0827936
"IGproject0464","Nomada","ruficornis","male",1925,5,15,"England","Devon","Brixham","",2.345,1.561,7.142,1.94,"Apidae","kleptoparasite",NA,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0465","Nomada","ruficornis","male",1915,4,14,"England","Devon","Dartmoor","East Dartmoor",2.723,1.9,8.303,2.291,"Apidae","kleptoparasite",NA,"East Dartmoor, Dartmoor, Devon, England",50.486085,-3.9856305
"IGproject0466","Andrena","chrysosceles","female",1899,6,18,"England","East Sussex","Polegate","",2.805,1.673,7.764,2.116,"Andrenidae","excavator",NA,"Polegate, East Sussex, England",50.8276836,0.2446652
"IGproject0467","Andrena","chrysosceles","male",1907,5,23,"England","Hampshire","","New Forest",2.969,1.832,8.182,2.32,"Andrenidae","excavator",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0468","Andrena","chrysosceles","female",1899,5,NA,"Wales","Monmouthshire","Raglan","",2.973,1.815,8.224,2.256,"Andrenidae","excavator",NA,"Raglan, Monmouthshire, Wales",51.7650543,-2.8540602
"IGproject0469","Andrena","chrysosceles","female",1913,5,23,"England","Dorset","Cerne Abbas","",2.853,1.782,7.849,2.203,"Andrenidae","excavator",NA,"Cerne Abbas, Dorset, England",50.8079558,-2.4793386
"IGproject0470","Andrena","chrysosceles","female",1914,4,NA,"England","Devon","Newton Abbot","",2.968,1.816,8.119,2.184,"Andrenidae","excavator",NA,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0471","Andrena","chrysosceles","female",1899,5,NA,"Wales","Monmouthshire","Raglan","",2.945,1.822,8.128,2.283,"Andrenidae","excavator",NA,"Raglan, Monmouthshire, Wales",51.7650543,-2.8540602
"IGproject0472","Andrena","chrysosceles","female",1899,6,5,"England","Cambridgeshire","Sawtry","Monks Wood",2.864,1.851,7.811,2.258,"Andrenidae","excavator",NA,"Monks Wood, Sawtry, Cambridgeshire, England",52.4055181,-0.2396955
"IGproject0473","Andrena","chrysosceles","male",1923,4,21,"England","Devon","Newton Abbot","Bradley Woods",2.54,1.541,6.724,1.777,"Andrenidae","excavator",NA,"Bradley Woods, Newton Abbot, Devon, England",50.525335,-3.627007989
"IGproject0474","Andrena","chrysosceles","male",1912,5,NA,"England","Hampshire","","New Forest",2.505,1.473,6.712,1.805,"Andrenidae","excavator",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
"IGproject0475","Andrena","chrysosceles","male",1912,5,NA,"England","Hampshire","","New Forest",2.481,1.461,6.566,1.755,"Andrenidae","excavator",NA,"New Forest, Hampshire, England",50.8557268,-1.5956844
